Format of output
key:  value  ->  retrievedValue , collisions number Collisions
Linear total number Collisions
Quadratic total number Collisions
Double hashing total number Collisions

*** Random Order Start *** 

754 : 1508 -> 1508, collisions 0
754 : 1508 -> 1508, collisions 0
754 : 1508 -> 1508, collisions 0

762 : 1524 -> 1524, collisions 0
762 : 1524 -> 1524, collisions 0
762 : 1524 -> 1524, collisions 0

774 : 1548 -> 1548, collisions 0
774 : 1548 -> 1548, collisions 0
774 : 1548 -> 1548, collisions 0

812 : 1624 -> 1624, collisions 0
812 : 1624 -> 1624, collisions 0
812 : 1624 -> 1624, collisions 0

849 : 1698 -> 1698, collisions 0
849 : 1698 -> 1698, collisions 0
849 : 1698 -> 1698, collisions 0

880 : 1760 -> 1760, collisions 2
880 : 1760 -> 1760, collisions 2
880 : 1760 -> 1760, collisions 2

931 : 1862 -> 1862, collisions 0
931 : 1862 -> 1862, collisions 0
931 : 1862 -> 1862, collisions 0

935 : 1870 -> 1870, collisions 0
935 : 1870 -> 1870, collisions 0
935 : 1870 -> 1870, collisions 0

945 : 1890 -> 1890, collisions 0
945 : 1890 -> 1890, collisions 0
945 : 1890 -> 1890, collisions 0

984 : 1968 -> 1968, collisions 0
984 : 1968 -> 1968, collisions 0
984 : 1968 -> 1968, collisions 0

990 : 1980 -> 1980, collisions 0
990 : 1980 -> 1980, collisions 0
990 : 1980 -> 1980, collisions 0

1270 : 2540 -> 2540, collisions 2
1270 : 2540 -> 2540, collisions 2
1270 : 2540 -> 2540, collisions 2

1292 : 2584 -> 2584, collisions 0
1292 : 2584 -> 2584, collisions 0
1292 : 2584 -> 2584, collisions 0

1293 : 2586 -> 2586, collisions 0
1293 : 2586 -> 2586, collisions 0
1293 : 2586 -> 2586, collisions 0

1363 : 2726 -> 2726, collisions 4
1363 : 2726 -> 2726, collisions 4
1363 : 2726 -> 2726, collisions 4

1473 : 2946 -> 2946, collisions 0
1473 : 2946 -> 2946, collisions 0
1473 : 2946 -> 2946, collisions 2

1532 : 3064 -> 3064, collisions 0
1532 : 3064 -> 3064, collisions 0
1532 : 3064 -> 3064, collisions 0

1544 : 3088 -> 3088, collisions 0
1544 : 3088 -> 3088, collisions 0
1544 : 3088 -> 3088, collisions 0

1555 : 3110 -> 3110, collisions 0
1555 : 3110 -> 3110, collisions 0
1555 : 3110 -> 3110, collisions 0

1572 : 3144 -> 3144, collisions 4
1572 : 3144 -> 3144, collisions 4
1572 : 3144 -> 3144, collisions 2

1606 : 3212 -> 3212, collisions 0
1606 : 3212 -> 3212, collisions 0
1606 : 3212 -> 3212, collisions 0

1606 : 3212 -> 3212, collisions 0
1606 : 3212 -> 3212, collisions 0
1606 : 3212 -> 3212, collisions 0

1647 : 3294 -> 3294, collisions 0
1647 : 3294 -> 3294, collisions 0
1647 : 3294 -> 3294, collisions 0

1826 : 3652 -> 3652, collisions 0
1826 : 3652 -> 3652, collisions 0
1826 : 3652 -> 3652, collisions 0

1921 : 3842 -> 3842, collisions 0
1921 : 3842 -> 3842, collisions 0
1921 : 3842 -> 3842, collisions 0

1926 : 3852 -> 3852, collisions 0
1926 : 3852 -> 3852, collisions 0
1926 : 3852 -> 3852, collisions 0

1970 : 3940 -> 3940, collisions 2
1970 : 3940 -> 3940, collisions 2
1970 : 3940 -> 3940, collisions 2

2016 : 4032 -> 4032, collisions 0
2016 : 4032 -> 4032, collisions 0
2016 : 4032 -> 4032, collisions 0

2169 : 4338 -> 4338, collisions 0
2169 : 4338 -> 4338, collisions 0
2169 : 4338 -> 4338, collisions 0

2214 : 4428 -> 4428, collisions 2
2214 : 4428 -> 4428, collisions 0
2214 : 4428 -> 4428, collisions 0

2249 : 4498 -> 4498, collisions 0
